marcador,estado,explicacion,fuente_url
glucosa,alto,La glucosa elevada en ayunas puede sugerir alteraciones del metabolismo o diabetes. Consulte a su médico.,https://medlineplus.gov/spanish/ency/article/003482.htm
glucosa,bajo,La glucosa baja puede causar síntomas como mareos o debilidad. Requiere evaluación clínica.,https://medlineplus.gov/spanish/ency/article/003482.htm
glucosa,limite,La glucosa está próxima al límite del rango. Considere repetir control o evaluar factores de riesgo metabólico.,https://medlineplus.gov/spanish/ency/article/003482.htm
col_total,alto,El colesterol total elevado se asocia con un mayor riesgo cardiovascular. Se recomienda control médico y hábitos saludables.,https://medlineplus.gov/spanish/ency/article/003493.htm
col_total,bajo,Un colesterol total muy bajo puede observarse en algunas enfermedades o malnutrición. Requiere correlato clínico.,https://medlineplus.gov/spanish/ency/article/003493.htm
col_total,limite,El colesterol total está en rango límite. Controle dieta y repita examen según indicación médica.,https://medlineplus.gov/spanish/ency/article/003493.htm
hdl,alto,HDL alto generalmente es protector frente a enfermedad cardiovascular. Mantenga hábitos saludables.,https://medlineplus.gov/spanish/ency/article/003496.htm
hdl,bajo,HDL bajo aumenta el riesgo cardiovascular. Se recomienda actividad física y evitar tabaco.,https://medlineplus.gov/spanish/ency/article/003496.htm
hdl,limite,HDL en el límite puede mejorar con dieta balanceada y ejercicio regular.,https://medlineplus.gov/spanish/ency/article/003496.htm
ldl,alto,LDL elevado se asocia con mayor riesgo cardiovascular. Controle dieta y ejercicio y siga indicaciones médicas.,https://medlineplus.gov/spanish/ency/article/003493.htm
ldl,bajo,LDL muy bajo rara vez es problemático pero debe interpretarse junto a otros parámetros lipídicos.,https://medlineplus.gov/spanish/ency/article/003493.htm
ldl,limite,LDL cercano al límite puede requerir seguimiento y control del perfil lipídico completo.,https://medlineplus.gov/spanish/ency/article/003493.htm
trigliceridos,alto,Triglicéridos elevados pueden asociarse a dieta rica en azúcares o alcohol. Controle peso y alimentación.,https://medlineplus.gov/spanish/ency/article/003493.htm
trigliceridos,bajo,Triglicéridos muy bajos suelen carecer de relevancia clínica aislada.,https://medlineplus.gov/spanish/ency/article/003493.htm
trigliceridos,limite,Triglicéridos cercanos al límite pueden requerir nuevo control en ayunas adecuadas.,https://medlineplus.gov/spanish/ency/article/003493.htm
hemoglobina,alto,Hemoglobina elevada puede indicar deshidratación o enfermedades hematológicas. Requiere evaluación médica.,https://medlineplus.gov/spanish/ency/article/003642.htm
hemoglobina,bajo,Hemoglobina baja sugiere anemia. Es recomendable estudio de causa y tratamiento médico.,https://medlineplus.gov/spanish/ency/article/003642.htm
hemoglobina,limite,Hemoglobina límite puede deberse a factores nutricionales o hidratación. Control según indicación médica.,https://medlineplus.gov/spanish/ency/article/003642.htm
creatinina,alto,Creatinina elevada puede indicar daño o disfunción renal. Se recomienda estimar filtrado glomerular.,https://medlineplus.gov/spanish/ency/article/003475.htm
