nombre,nombre_generico,grupo,para_que_sirve,precauciones,efectos_frecuentes,cuando_consultar,nivel_riesgo,fuente_base,url_fuente,fecha_revision,nivel_confianza,pais_contexto
Paracetamol,Acetaminofén,Analgésico / Antipirético,"Alivia dolor leve a moderado (cabeza, muscular, dental) y baja la fiebre.",No superar 4 g/día en adultos. Evitar con daño hepático severo o consumo habitual de alcohol. No combinar con otros productos que contengan paracetamol.,Bien tolerado a dosis correctas. En sobredosis puede dañar el hígado.,"Si tiene dolor abdominal intenso en el cuadrante superior derecho, orina oscura o piel amarillenta después de tomarlo.",bajo,curada_local_v1,,2026-04-05,revision_inicial,LAT
Ibuprofeno,Ibuprofeno,Antiinflamatorio (AINE),"Alivia dolor, inflamación y fiebre. Útil en dolores musculares, articulares, menstruales y cefaleas.","Tomar con alimentos. Evitar en úlcera gástrica, insuficiencia renal o cardíaca. Precaución en mayores de 65 años.","Malestar estomacal, náuseas, acidez. Menos frecuente: mareos o dolor de cabeza.","Si nota sangre en las heces o heces negras, hinchazón facial, dificultad para respirar o dolor de pecho.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Aspirina,Ácido acetilsalicílico,Antiinflamatorio (AINE) / Antiagregante,A dosis bajas (100 mg) previene coágulos en riesgo cardiovascular. A dosis altas alivia dolor y fiebre.,No dar a menores de 16 años. Evitar en úlcera gástrica. Puede aumentar el riesgo de sangrado.,Malestar estomacal. A dosis altas: zumbido en oídos.,"Si presenta vómitos con sangre, heces negras o alquitranadas, o zumbido intenso en oídos.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Diclofenaco,Diclofenaco sódico,Antiinflamatorio (AINE),"Reduce dolor e inflamación en contracturas, artritis, golpes y dolor postoperatorio.","Tomar con alimentos. Evitar en úlcera péptica, problemas renales o cardíacos. No usar por períodos prolongados sin indicación médica.","Molestias gástricas, náuseas, diarrea. Posible elevación de presión arterial.","Si nota hinchazón importante en piernas, dificultad para respirar, heces oscuras o sangre en orina.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Ketorolaco,Ketorolaco trometamina,Antiinflamatorio (AINE),Alivia dolor moderado a intenso de corta duración. Se usa después de cirugías o en cólicos renales.,"Uso máximo 5 días. Contraindicado en úlcera, insuficiencia renal o antes de cirugías. No combinar con otros AINEs.","Malestar gástrico, mareos. Puede elevar la presión arterial o afectar los riñones.","Si nota sangrado, orina oscura, hinchazón en cara o dificultad para respirar.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Amoxicilina,Amoxicilina,Antibiótico (penicilina),"Trata infecciones bacterianas: respiratorias, urinarias, otitis, faringitis.",Informar alergias a penicilinas. Completar el tratamiento aunque mejore. Solo con prescripción médica.,"Diarrea, náuseas, erupciones cutáneas. Rara vez: reacción alérgica grave.","Si aparece sarpullido generalizado, dificultad para respirar o hinchazón de cara.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Amoxicilina + Clavulánico,Amoxicilina/Ácido clavulánico,Antibiótico (penicilina + inhibidor de betalactamasa),"Trata infecciones bacterianas resistentes a amoxicilina simple: sinusitis, bronquitis, infecciones de piel y vías urinarias.",Informar alergias a penicilinas. Puede causar diarrea con más frecuencia que la amoxicilina sola. No usar sin prescripción.,"Diarrea, náuseas, molestias gástricas. Menos frecuente: ictericia colestásica.","Si desarrolla sarpullido, ictericia (piel amarilla) o diarrea grave con sangre.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Cefalexina,Cefalexina,Antibiótico (cefalosporina 1G),"Trata infecciones de piel, tejidos blandos, vías urinarias y respiratorias causadas por bacterias sensibles.",Informar alergias a penicilinas (posible reactividad cruzada). Completar el ciclo completo indicado.,"Diarrea, náuseas, molestias gástricas. Raramente: erupciones o reacciones alérgicas.","Si nota erupciones generalizadas, dificultad para respirar o diarrea severa.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Claritromicina,Claritromicina,Antibiótico (macrólido),"Trata infecciones respiratorias (bronquitis, neumonía), de piel y Helicobacter pylori.","Puede interactuar con varios medicamentos (estatinas, anticoagulantes). Precaución en problemas cardíacos o hepáticos.","Sabor metálico, náuseas, diarrea, molestias abdominales. Puede alterar el ritmo cardíaco.","Si presenta palpitaciones irregulares, ictericia, erupciones o diarrea con sangre.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Cotrimoxazol,Trimetoprim/Sulfametoxazol,Antibiótico (sulfonamida),"Trata infecciones urinarias, algunas infecciones respiratorias y diarreas infecciosas.",Beber suficiente agua. Evitar en insuficiencia renal grave o alergia a sulfas. Protegerse del sol.,"Náuseas, erupciones, sensibilidad al sol. Raramente: reacciones graves en piel.","Si aparece sarpullido con ampollas, coloración amarilla, fiebre alta o dificultad para orinar.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Metronidazol,Metronidazol,Antibiótico / Antiparasitario,"Trata infecciones por bacterias anaerobias, tricomoniasis, giardia y amebiasis intestinal.",No consumir alcohol durante el tratamiento ni 48 h después (reacción severa). Evitar en el primer trimestre del embarazo.,"Sabor metálico, náuseas, sequedad de boca. Puede oscurecer la orina.","Si tiene convulsiones, hormigueo en manos o pies, o síntomas neurológicos inusuales.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Doxiciclina,Doxiciclina,Antibiótico (tetraciclina),"Trata infecciones respiratorias, de piel, infecciones de transmisión sexual (clamidia) y malaria (profilaxis).","Tomar con abundante agua en posición erguida. Evitar con lácteos, antiácidos o calcio. Usar protección solar. No en menores de 8 años ni embarazadas.","Náuseas, fotosensibilidad, dolor esofágico si se toma sin agua.","Si presenta dificultad para tragar, dolor torácico al deglutir, erupciones severas o problemas visuales.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Nitrofurantoína,Nitrofurantoína,Antibiótico (nitrofurano),"Trata infecciones urinarias sin complicaciones. Solo actúa en el tracto urinario, no sirve para otras infecciones.",Tomar con alimentos. No usar en insuficiencia renal avanzada. Puede teñir la orina de marrón (normal).,"Náuseas, dolor abdominal, orina de color marrón. Raramente: daño pulmonar con uso prolongado.","Si presenta dificultad para respirar, fiebre, tos persistente o erupciones tras tomarlo.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Clindamicina,Clindamicina,Antibiótico (lincosamida),"Trata infecciones graves de piel, huesos, tejidos blandos e infecciones dentales en personas alérgicas a penicilinas.",Riesgo de diarrea grave por Clostridioides difficile. Completar el tratamiento. Informar al médico cualquier diarrea persistente.,"Diarrea, náuseas, molestias abdominales. El efecto adverso más serio es la colitis pseudomembranosa.","Si tiene diarrea acuosa o con sangre, fiebre o calambres abdominales intensos durante o después del tratamiento.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Azitromicina,Azitromicina,Antibiótico (macrólido),"Trata infecciones respiratorias (neumonía leve, sinusitis), de piel y algunas infecciones de transmisión sexual.",No usar sin prescripción. Completar el ciclo. Precaución en problemas cardíacos o hepáticos.,"Diarrea, náuseas, dolor abdominal. Ocasionalmente: alteración del gusto.","Si nota palpitaciones irregulares, ictericia o diarrea severa con sangre.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Ciprofloxacino,Ciprofloxacino,Antibiótico (fluoroquinolona),"Trata infecciones urinarias complicadas, intestinales y algunas respiratorias.",No tomar con lácteos ni antiácidos simultáneamente. Puede dañar tendones. Evitar exposición solar intensa.,"Náuseas, diarrea, mareos. Poco frecuente: dolor en tendones.","Si siente dolor o inflamación en un tendón (especialmente el talón de Aquiles), o tiene convulsiones.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Metformina,Metformina,Antidiabético (biguanida),Controla el azúcar en sangre en diabetes tipo 2. No causa hipoglucemia por sí sola.,Tomar con comidas para reducir molestias digestivas. Avisar al médico antes de procedimientos con contraste. Suspender si hay infección grave o deshidratación.,"Náuseas, diarrea, malestar estomacal al inicio. Suelen mejorar con el tiempo.","Si tiene náuseas intensas, dolor abdominal, debilidad extrema o dificultad para respirar (posible acidosis láctica, rara pero grave).",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Glibenclamida,Glibenclamida,Antidiabético (sulfonilurea),Estimula al páncreas a producir insulina para bajar el azúcar en sangre en diabetes tipo 2.,"Puede causar hipoglucemia (azúcar baja), especialmente si se salta comidas. Precaución en mayores y en insuficiencia renal.","Hipoglucemia, aumento de peso, náuseas. Raramente: reacciones en piel.","Si presenta sudoración fría, temblor, confusión, palpitaciones o pérdida de conocimiento (hipoglucemia).",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Sitagliptina,Sitagliptina,Antidiabético (inhibidor DPP-4),Ayuda a controlar el azúcar en sangre estimulando la insulina solo cuando los niveles están elevados. Bajo riesgo de hipoglucemia.,Ajustar dosis en insuficiencia renal. Se puede tomar con o sin alimentos.,"Bien tolerado. Poco frecuente: infecciones respiratorias altas, pancreatitis (rara).","Si presenta dolor abdominal severo irradiado a la espalda (posible pancreatitis), o erupciones en piel.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
Empagliflozina,Empagliflozina,Antidiabético (inhibidor SGLT2),Reduce el azúcar en sangre eliminando glucosa por la orina. También protege el corazón y los riñones.,Puede aumentar el riesgo de infecciones urinarias y genitales. Mantenerse bien hidratado. No usar en insuficiencia renal avanzada.,"Infecciones urinarias o genitales frecuentes, micción aumentada. Raramente: cetoacidosis diabética.","Si tiene sed extrema, fatiga intensa, vómitos o dolor abdominal (posible cetoacidosis), o signos de infección grave.",moderado,curada_local_v1,,2026-04-05,revision_inicial,LAT
